URL,Address,Title
https://newyork.craigslist.org/jsy/egr/d/cranford-drafter-engineer-concrete/7139166697.html,Manhattan/Cranford NJ,"Drafter/Engineer Concrete Formwork, Shoring, Equipment, Similar"
https://newyork.craigslist.org/brx/egr/d/bronx-estimator-drafter/7139130976.html,Bronx,Estimator/Drafter
https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager-electrical/7138998393.html,new york city,Project Manager - Electrical / Data Construction - Large Firm
https://newyork.craigslist.org/lgi/egr/d/hauppauge-maintenance-mechanic/7138550009.html,Hauppauge,Maintenance Mechanic
https://newyork.craigslist.org/fct/egr/d/norwalk-intermediate-interior-designer/7138412583.html,Norwalk,Intermediate Interior Designer/ Architect
https://newyork.craigslist.org/brk/egr/d/brooklyn-dob-licensed-superintendent/7138254874.html,,DOB LICENSED SUPERINTENDENT 100k-120k year/DOB LICENSE REQUIRED
https://newyork.craigslist.org/brk/egr/d/architectural-drafter/7137992096.html,Brooklyn,Architectural Drafter
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-pe-or-eit/7137967033.html,,Structural Engineer P.E. or E.I.T.
https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator/7137850029.html,Brooklyn,Estimator
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-mechanical-engineer/7137410856.html,,Relocation: Mechanical Engineer
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-electrical-engineer/7137410237.html,,Relocation: Electrical Engineer
https://newyork.craigslist.org/mnh/egr/d/new-york-relocation-firmware-engineer/7137409453.html,,Relocation: Firmware Engineer
https://newyork.craigslist.org/jsy/egr/d/west-orange-chief-architect-experience/7136904449.html,,Chief Architect experience wanted
https://newyork.craigslist.org/que/egr/d/astoria-3d-draftsman-for-revit-cad/7136536511.html,Astoria,"3D Draftsman for Revit cad mechanical, plumbing, fire suppression"
https://newyork.craigslist.org/brk/egr/d/stottville-designer-draftsperson/7136509622.html,Ghent,Designer - Draftsperson
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-for-high-end/7136425552.html,Chelsea,Architect for High End Residential Firm
https://newyork.craigslist.org/mnh/egr/d/new-york-estimator-needed-for/7136397132.html,Greenwich Village,ESTIMATOR NEEDED FOR CONSTRUCTION COMPANY
https://newyork.craigslist.org/brk/egr/d/brooklyn-junior-architect-drafter/7135944116.html,brooklyn,Junior Architect / Drafter
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-landscape-designer/7135784289.html,"NewYork, NY",Junior Landscape Designer
https://newyork.craigslist.org/lgi/egr/d/roslyn-heights-junior-construction/7135668974.html,Roslyn Heights,Junior Construction Estimator
https://newyork.craigslist.org/que/egr/d/jamaica-project-architects/7134844128.html,Queens,Project Architect(s)
https://newyork.craigslist.org/que/egr/d/astoria-expeditor-for-plumbing-heating/7134000147.html,Astoria,Expeditor For Plumbing & Heating Office
https://newyork.craigslist.org/que/egr/d/richmond-hill-expediter-dob-and-dob-now/7133895420.html,richmondhill,expediter/ dob and dob now
https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/7133893801.html,richmondhill,experienced architect/drafter
https://newyork.craigslist.org/fct/egr/d/wilton-landscape-designer-architect/7133854555.html,"Wilton, CT",Landscape Designer / Architect
https://newyork.craigslist.org/que/egr/d/long-island-city-general-superintendent/7133767598.html,,General Superintendent for Steel and Concrete Company
https://newyork.craigslist.org/fct/egr/d/new-canaan-landscape-architect-designer/7132924096.html,New Canaan,Landscape Architect / Designer and Sales Professional
https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/7132546709.html,,HVAC Drafter
https://newyork.craigslist.org/jsy/egr/d/princeton-senior-interior-designer/7132037062.html,"Princeton, NJ",Senior Interior Designer
https://newyork.craigslist.org/que/egr/d/queens-village-resaturant-design/7131899205.html,Bellerose Queens,Resaturant Design Decorator
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager/7131894058.html,BROOKLYN,Project Manager
https://newyork.craigslist.org/que/egr/d/hollis-experienced-structural-soe/7131887895.html,Queens,Experienced Structural/SOE Engineer/Draftsman(Part-time)
https://newyork.craigslist.org/fct/egr/d/greenwich-survey-technician/7131827269.html,"Greenwich, CT",Survey Technician
https://newyork.craigslist.org/jsy/egr/d/newark-hiring-now-civil-designer/7131733531.html,NEWARK,HIRING NOW: CIVIL DESIGNER
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-nys-pe/7131580770.html,BROOKLYN,STRUCTURAL ENGINEER NYS PE
https://newyork.craigslist.org/que/egr/d/long-island-city-cad-operator-drafter/7131381989.html,Long Island City,CAD Operator / Drafter
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-pe-or-eit/7131147545.html,,Structural Engineer P.E. or E.I.T.
https://newyork.craigslist.org/mnh/egr/d/new-york-licensed-structural-engineer/7130870528.html,TriBeCa,Licensed Structural Engineer PE (NY)
https://newyork.craigslist.org/que/egr/d/ozone-park-expediting-firm-class-1-or-2/7130743001.html,,Expediting Firm Class 1 or 2 Filing Rep (All Boroughs)
https://newyork.craigslist.org/brk/egr/d/architectural-drafter/7130726227.html,Brooklyn,Architectural Drafter
https://newyork.craigslist.org/que/egr/d/farmingdale-construction-estimator-t/7130498890.html,Farmingdale,Construction Estimator F/T
https://newyork.craigslist.org/mnh/egr/d/cad-drafter/7129325001.html,TriBeCa,CAD drafter
https://newyork.craigslist.org/que/egr/d/long-island-city-looking-for-engineers/7128761769.html,,Looking for Engineers and Drafters
https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/7128688059.html,,HVAC Drafter
https://newyork.craigslist.org/que/egr/d/astoria-part-time-estimator-needed/7128462486.html,Queens,Part Time Estimator Needed- Building Envelope
https://newyork.craigslist.org/brk/egr/d/brooklyn-seeking-experienced-interior/7128075706.html,Brooklyn,Seeking Experienced Interior Designer for Single-Family Residence
https://newyork.craigslist.org/mnh/egr/d/new-york-job-position-of-architectural/7127865359.html,Midtown West,Job position of Architectural Designer
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-for-high-end/7127863639.html,Chelsea,Architect for High End Residential Firm
https://newyork.craigslist.org/brk/egr/d/brooklyn-landscape-design-and-sales/7127692789.html,Brooklyn,Landscape design and sales
https://newyork.craigslist.org/brk/egr/d/brooklyn-cleaning-technician-site/7127002735.html,Brooklyn,Cleaning Technician (Site Manager)
https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer/7126802021.html,"Brooklyn, NY",Structural Engineer
https://newyork.craigslist.org/que/egr/d/cad-draftsman-estimator/7126701887.html,NYC,CAD Draftsman/Estimator
https://newyork.craigslist.org/que/egr/d/construction-estimator-project-manager/7126701363.html,NYC,Construction Estimator/Project Manager
https://newyork.craigslist.org/wch/egr/d/mount-vernon-assistant-project-manager/7125435573.html,Mt. Vernon,Assistant Project Manager
https://newyork.craigslist.org/que/egr/d/maspeth-looking-for-an-experienced/7124672371.html,"Queens, NY",Looking for an experienced Estimator for a Misc.  Architectural Metal
https://newyork.craigslist.org/brk/egr/d/steel-detailer/7124451679.html,Queens,Steel Detailer
https://newyork.craigslist.org/brk/egr/d/brooklyn-project-coordinator-manager/7124217574.html,Brooklyn,Project Coordinator / Manager - Expediting office
https://newyork.craigslist.org/brk/egr/d/dob-class-2-filing-rep/7124216831.html,Brooklyn,DOB class 2 filing rep
https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/7124061787.html,richmondhill,experienced architect/drafter
https://newyork.craigslist.org/mnh/egr/d/new-york-city-civil-engineers-surveyors/7124047873.html,Midtown,CIVIL ENGINEERS & Surveyors - All Levels
https://newyork.craigslist.org/que/egr/d/jamaica-estimator-pm/7123609218.html,"Jamaica, Queens by JFK",Estimator / PM
https://newyork.craigslist.org/que/egr/d/farmingdale-construction-estimator-t/7123568791.html,Farmingdale,Construction Estimator F/T
https://newyork.craigslist.org/lgi/egr/d/farmingdale-construction-estimator-t/7123523966.html,Farmingdale NY,Construction Estimator F/T
https://newyork.craigslist.org/que/egr/d/maspeth-hvac-drafter/7123354661.html,,HVAC Drafter
https://newyork.craigslist.org/que/egr/d/flushing-architectural-draftsperson/7123043414.html,Flushing,Architectural Draftsperson
https://newyork.craigslist.org/mnh/egr/d/staten-island-expediting-project-manager/7122478829.html,Downtown,Expediting Project Manager
https://newyork.craigslist.org/brx/egr/d/bronx-estimator-drafter/7122136275.html,Bronx,Estimator/Drafter
https://newjersey.craigslist.org/egr/d/picatinny-arsenal-immediate-openings/7131793532.html,,Immediate Openings - Independent Insurance Inspector
https://newjersey.craigslist.org/egr/d/west-orange-commercial-construction/7131676263.html,,Commercial Construction Superintendent
https://newjersey.craigslist.org/egr/d/hawthorne-architect/7130852534.html,,Architect
https://newjersey.craigslist.org/egr/d/bridgewater-licensed-waste-water/7128444344.html,,Licensed Waste Water Treatment Operator
https://newjersey.craigslist.org/egr/d/newark-construction-maintenance-project/7127288196.html,,Construction/Maintenance Project Manager
https://newjersey.craigslist.org/egr/d/denville-automation-controls-engineer/7125665600.html,,Automation Controls Engineer
https://newjersey.craigslist.org/egr/d/auto-cad-estimating/7123762915.html,,Auto CAD - Estimating
https://newjersey.craigslist.org/egr/d/harriman-construction-inspectors/7123493957.html,,Construction Inspectors
https://jerseyshore.craigslist.org/egr/d/brick-architectural-designer/7138091364.html,,Architectural Designer/Draftsperson wanted
https://jerseyshore.craigslist.org/egr/d/fort-monmouth-design-engineer-stormwater/7135435979.html,,Design Engineer/Stormwater
https://jerseyshore.craigslist.org/egr/d/fort-monmouth-new-jersey-professional/7135421621.html,,New Jersey Professional Land Surveyor
https://jerseyshore.craigslist.org/egr/d/long-branch-estimating-purchasing-agent/7124803775.html,,Estimating/Purchasing Agent for Builder
https://cnj.craigslist.org/egr/d/mountainside-project-manager/7136198420.html,,Project Manager
https://cnj.craigslist.org/egr/d/mountainside-estimator/7136197945.html,,Estimator
https://cnj.craigslist.org/egr/d/allentown-paid-internship-20-hr/7136022899.html,,PAID Internship - $20/Hr appointment with Bonus
https://cnj.craigslist.org/egr/d/hopewell-drafts-person-3d-rendering/7134139597.html,,DRAFTS PERSON . 3D RENDERING
https://cnj.craigslist.org/egr/d/roselle-park-solar-energy-consultant/7133821164.html,,SOLAR ENERGY CONSULTANT
https://cnj.craigslist.org/egr/d/princeton-senior-interior-designer/7132032772.html,,Senior Interior Designer
https://cnj.craigslist.org/egr/d/south-plainfield-woodworking-autocad/7131411225.html,,Woodworking Autocad shop drawings needed
https://cnj.craigslist.org/egr/d/electrical-estimator-wanted-commercial/7130553421.html,,Electrical Estimator Wanted (Commercial)
https://cnj.craigslist.org/egr/d/rocky-hill-residential-construction/7128582364.html,,Residential Construction Estimator
https://cnj.craigslist.org/egr/d/architect/7125046837.html,,Architect
https://cnj.craigslist.org/egr/d/trenton-architect-part-time/7124305381.html,,Architect Part Time
https://cnj.craigslist.org/egr/d/harriman-construction-inspectors/7123496373.html,,Construction Inspectors
https://longisland.craigslist.org/egr/d/huntington-landscape-designer-sales/7138638898.html,,Landscape Designer/Sales Person
https://longisland.craigslist.org/egr/d/west-sayville-architectural-drafting/7138003019.html,,Architectural Drafting
https://longisland.craigslist.org/egr/d/baldwin-auto-mechanic/7136251029.html,,Auto Mechanic
https://longisland.craigslist.org/egr/d/westbury-construction-estimator/7135821836.html,,Construction Estimator
https://longisland.craigslist.org/egr/d/plainview-quality-control-technician/7135693054.html,,Quality Control Technician/Inspector AD
https://longisland.craigslist.org/egr/d/concrete-estimator-draftsman/7135312225.html,,Concrete Estimator/Draftsman
https://longisland.craigslist.org/egr/d/holbrook-deli-clerks-lombardi-gourmet/7134696690.html,,"DELI CLERKS , Lombardi Gourmet Market"
https://longisland.craigslist.org/egr/d/architecture/7134165109.html,,Architecture
https://longisland.craigslist.org/egr/d/huntington-station-architectural-senior/7134084213.html,,Architectural Senior Drafter/Job Captain
https://longisland.craigslist.org/egr/d/plainview-estimator/7132002861.html,,Estimator
https://longisland.craigslist.org/egr/d/holbrook-assistant-project-manager/7131840586.html,,Assistant Project Manager
https://longisland.craigslist.org/egr/d/electrical-estimator/7131754997.html,,Electrical Estimator
https://longisland.craigslist.org/egr/d/nesconset-draftsman-architectural/7130856309.html,,Draftsman: Architectural Millwork
https://longisland.craigslist.org/egr/d/nesconset-cnc-programmer-operator/7130855226.html,,CNC Programmer / Operator
https://longisland.craigslist.org/egr/d/holbrook-deli-clerks-holbrook-gourmet/7130534558.html,,"DELI CLERKS , Holbrook Gourmet Market"
https://longisland.craigslist.org/egr/d/woodbury-electrical-engineer-pe/7127424725.html,,ELECTRICAL ENGINEER/PE
https://longisland.craigslist.org/egr/d/architecture/7125057083.html,,Architecture
https://longisland.craigslist.org/egr/d/farmingdale-assistant-t-construction/7123390635.html,,ASSISTANT F/T Construction Project Manager
https://hudsonvalley.craigslist.org/egr/d/middletown-office-and-field-positions/7137578747.html,,Office and Field positions - Commercial Construction- Hudson Valley
https://hudsonvalley.craigslist.org/egr/d/red-hook-architectural-draftsperson/7136397420.html,,ARCHITECTURAL DRAFTSPERSON/ INTERN
https://hudsonvalley.craigslist.org/egr/d/danbury-mechanical-construction/7135844251.html,,MECHANICAL CONSTRUCTION ASSISTANT PROJECT MANAGER
https://hudsonvalley.craigslist.org/egr/d/wingdale-engineer/7135791927.html,,ENGINEER
https://hudsonvalley.craigslist.org/egr/d/wingdale-draftsperson/7135790546.html,,DRAFTSPERSON
https://hudsonvalley.craigslist.org/egr/d/mountainville-environmental-project/7134565224.html,,Environmental Project Monitor
https://hudsonvalley.craigslist.org/egr/d/washingtonville-electrical-controls/7128777657.html,,Electrical Controls Engineer
https://hudsonvalley.craigslist.org/egr/d/somers-project-manager-estimator/7124468293.html,,PROJECT MANAGER/ESTIMATOR
https://hudsonvalley.craigslist.org/egr/d/millbrook-architectural-associate/7123450102.html,,Architectural Associate
https://newhaven.craigslist.org/egr/d/east-berlin-engineering-services/7135126702.html,,Engineering Services Director
https://newhaven.craigslist.org/egr/d/milford-manufacturing-engineer/7128019237.html,,Manufacturing Engineer
